imagen, numeroROI, contadorObjetos, promedioRGB_R, promedioRGB_G, promedioRGB_B, desviacionRGB_R, desviacionRGB_G, desviacionRGB_B, promedioLAB_L, promedioLAB_A, promedioLAB_B, desviacionLAB_L, desviacionLAB_A, desviacionLAB_B, promedioHSV_H, promedioHSV_S, promedioHSV_V, desviacionHSV_H, desviacionHSV_S, desviacionHSV_V, sumaArea, perimetro, excentricidad, ejeMayor, ejeMenor, entropia, inercia, energia, x, y, w, h, clasificacion 
001.jpg,          1,          1,   227.5894,   227.4783,   199.2174,     1.0000,     1.0000,     1.0000,    89.6946,    -4.6604,    13.8612,     7.2330,     2.2696,     5.3586,     0.1632,     0.1295,     0.8958,     0.0177,     0.0485,     0.0797,        207,    58.5850,     0.8890,    24.6003,    11.2641,     0.0000,     0.0000,     0.0000,         73,         10,         24,         10, CALYX 
001.jpg,          2,          1,   217.6835,   219.7986,   184.6187,     1.4142,     1.4142,     1.4142,    86.6433,    -6.5508,    17.1588,     8.3355,     2.7887,     5.7008,     0.1751,     0.1664,     0.8638,     0.0148,     0.0638,     0.0896,        139,    43.0870,     0.8267,    18.0481,    10.1559,     0.0000,     0.0000,     0.0000,         58,          3,         17,          9, CALYX 
001.jpg,          3,          1,   227.9250,   229.5417,   218.7333,     1.4142,     1.4142,     1.4142,    90.6843,    -2.4308,     5.0930,     7.1762,     1.0205,     2.0130,     0.1902,     0.0485,     0.9002,     0.0092,     0.0216,     0.0783,        120,    42.7150,     0.9155,    19.6656,     7.9120,     0.0000,     0.0000,     0.0000,         52,          6,         18,          8, CALYX 
001.jpg,          4,          1,   213.1538,   214.0615,   208.0308,     2.0000,     2.0000,     2.0000,    85.3752,    -1.3778,     2.8744,     6.5789,     0.6808,     1.3643,     0.1753,     0.0290,     0.8395,     0.0514,     0.0147,     0.0718,         65,    30.9960,     0.9231,    15.0111,     5.7735,     0.0000,     0.0000,     0.0000,         70,          4,         13,          5, CALYX 
001.jpg,          1,          1,   202.8800,   196.0800,    66.8400,     3.1623,     3.1623,     3.1623,    77.6742,   -12.1852,    60.2853,     6.7833,     5.4195,    14.4365,     0.1555,     0.6753,     0.7969,     0.0138,     0.1851,     0.0663,         25,    15.3160,     0.0000,     5.7735,     5.7735,     0.0000,     0.0000,     0.0000,         26,        164,          5,          5, DEFECTOS 
001.jpg,          1,          2,   183.5417,   163.1667,    81.5417,     3.3166,     3.3166,     3.3166,    67.0320,    -2.4335,    43.0941,    15.1588,     5.0241,    15.8362,     0.1260,     0.5813,     0.7198,     0.0316,     0.1994,     0.1475,         24,    14.6710,     0.4003,     5.8878,     5.3955,     0.0000,     0.0000,     0.0000,         28,        172,          5,          5, DEFECTOS 
001.jpg,          1,          3,   213.2083,   212.9167,    89.5000,     3.3166,     3.3166,     3.3166,    83.2121,   -14.8119,    57.5616,     5.9715,     3.4527,    15.7568,     0.1665,     0.5891,     0.8426,     0.0075,     0.1937,     0.0640,         24,    16.0770,     0.3165,     5.8878,     5.5852,     0.0000,     0.0000,     0.0000,         29,        158,          5,          5, DEFECTOS 
001.jpg,          1,          4,   193.7273,   188.2727,    78.4091,     3.4641,     3.4641,     3.4641,    74.9083,   -11.4657,    53.5408,     5.2995,     2.0577,    13.3762,     0.1591,     0.5991,     0.7601,     0.0050,     0.1736,     0.0587,         22,    16.1930,     0.4599,     5.8959,     5.2354,     0.0000,     0.0000,     0.0000,        125,        174,          5,          5, DEFECTOS 
001.jpg,          1,          5,   199.4348,   193.9130,    92.6522,     3.3166,     3.3166,     3.3166,    77.0050,   -11.1307,    50.3032,     5.2928,     2.1695,     9.9352,     0.1577,     0.5401,     0.7821,     0.0043,     0.1269,     0.0553,         23,    16.8380,     0.0963,     5.7129,     5.6864,     0.0000,     0.0000,     0.0000,        177,         94,          5,          5, DEFECTOS 
001.jpg,          2,          1,   217.5000,   223.1667,   170.6667,     3.3166,     3.1623,     6.5574,    87.3131,   -10.3274,    25.1606,     1.8726,     2.8269,     7.4416,     0.1847,     0.2360,     0.8752,     0.0037,     0.0716,     0.0193,          6,     6.3680,     0.3849,     3.4641,     3.1972,     0.0000,     0.0000,     0.0000,         46,         79,          3,          3, DEFECTOS 
