imagen, numeroROI, contadorObjetos, promedioRGB_R, promedioRGB_G, promedioRGB_B, desviacionRGB_R, desviacionRGB_G, desviacionRGB_B, promedioLAB_L, promedioLAB_A, promedioLAB_B, desviacionLAB_L, desviacionLAB_A, desviacionLAB_B, promedioHSV_H, promedioHSV_S, promedioHSV_V, desviacionHSV_H, desviacionHSV_S, desviacionHSV_V, sumaArea, perimetro, excentricidad, ejeMayor, ejeMenor, entropia, inercia, energia, x, y, w, h, clasificacion 
008.jpg,          1,          1,   211.7050,   216.5324,   197.7050,     1.4142,     1.4142,     1.4142,    85.6065,    -4.9676,     8.7559,     9.0973,     1.8010,     2.6870,     0.2066,     0.0898,     0.8491,     0.0253,     0.0354,     0.0972,         15,    11.8100,     0.8055,     5.8826,     3.4858,     0.0000,     0.0000,     0.0000,         68,         13,         27,         14, DEFECTOS 
008.jpg,          1,          2,   214.0000,   216.8667,   198.8000,     4.1231,     4.1231,     4.1231,    85.9339,    -4.1002,     8.5366,     7.0524,     2.0189,     4.2380,     0.1790,     0.0819,     0.8505,     0.0484,     0.0400,     0.0792,         15,    11.8100,     0.8055,     5.8826,     3.4858,     0.0000,     0.0000,     0.0000,         76,         14,          6,          4, DEFECTOS 
008.jpg,          1,          3,   154.2308,   148.2308,   100.6154,     4.4721,     4.4721,     4.4721,    60.8504,    -5.1054,    25.9185,     4.2693,     1.5736,     9.0623,     0.1483,     0.3457,     0.6048,     0.0044,     0.1152,     0.0444,         13,    11.8100,     0.8742,     6.1903,     3.0055,     0.0000,     0.0000,     0.0000,        111,        184,          6,          4, DEFECTOS 
008.jpg,          2,          1,   194.9695,   200.1679,   171.6183,     1.4142,     1.4142,     1.4142,    79.4946,    -6.7628,    13.7258,     8.4748,     1.3224,     3.0180,     0.1974,     0.1454,     0.7850,     0.0060,     0.0381,     0.0912,        131,    78.1120,     0.8548,    26.5487,    13.7769,     0.0000,     0.0000,     0.0000,         54,         13,         22,         13, CALYX 
008.jpg,          3,          1,   212.2547,   219.5755,   215.2830,     1.4142,     1.4142,     1.4142,    86.8572,    -3.2793,     1.2724,     9.3497,     2.6161,     2.2764,     0.3542,     0.0408,     0.8642,     0.1611,     0.0271,     0.1011,        106,    64.2520,     0.7688,    18.5708,    11.8766,     0.0000,     0.0000,     0.0000,         45,          9,         18,         11, CALYX 
008.jpg,          3,          2,   223.2368,   229.0263,   174.8947,     2.6458,     2.6458,     2.6458,    89.3103,   -10.5799,    25.8124,     5.7657,     2.7104,     7.7317,     0.1851,     0.2374,     0.8981,     0.0059,     0.0722,     0.0637,         38,    27.4240,     0.9638,    14.3042,     3.8165,     0.0000,     0.0000,     0.0000,         55,         25,         13,          6, DEFECTOS 
008.jpg,          3,          3,   215.2500,   217.3750,   203.3750,     5.6569,     5.6569,     5.6569,    86.2648,    -3.1879,     6.6396,     6.8958,     0.2946,     0.5150,     0.1919,     0.0647,     0.8525,     0.0018,     0.0054,     0.0764,          8,     7.2200,     0.5477,     3.6515,     3.0551,     0.0000,     0.0000,     0.0000,         83,         18,          3,          4, DEFECTOS 
008.jpg,          4,          1,   204.2000,   204.2000,   204.2000,     7.1414,     7.1414,     7.1414,    82.0937,     0.0000,     0.0000,     4.3349,     0.0000,     0.0000,     0.0000,     0.0000,     0.8008,     0.0000,     0.0000,     0.0472,          5,     5.6240,     0.0000,     2.7809,     2.7809,     0.0000,     0.0000,     0.0000,         35,         34,          3,          3, DEFECTOS 
008.jpg,          4,          2,   219.8478,   224.2826,   195.6304,     2.4495,     2.4495,     2.4495,    88.2228,    -6.3570,    13.5563,     6.8480,     2.7105,     5.7926,     0.1840,     0.1289,     0.8795,     0.0395,     0.0563,     0.0752,         46,    31.1620,     0.9724,    16.5116,     3.8517,     0.0000,     0.0000,     0.0000,         47,         13,         15,          6, CALYX 
008.jpg,          4,          3,   236.0000,   235.2000,   231.8000,     7.1414,     7.1414,     7.1414,    93.0784,    -0.3296,     1.7419,     3.5801,     0.1706,     0.6137,     0.1367,     0.0180,     0.9255,     0.0178,     0.0064,     0.0390,          5,     5.6240,     0.0000,     2.7809,     2.7809,     0.0000,     0.0000,     0.0000,         65,         12,          3,          3, DEFECTOS 
